address,allocation
0x0df888b83a6158b496bd070b726e736ad42e9db4,35910
0x0e0a268d38d3a2fc93f0fbab9aebf91ecc4627af,417
0x0e215d573dc571191bef806941c70964f3846c35,5000
0x0e2cd4f57cded9b72d10e780a2ee6ff2cf8f2202,91185
0x0e2d5d46cc4633c0c885c078465941a8f19c5714,490
0x0e3ee9281a7b0e98fb954eb7dc28658013375688,7591
0x0e442e5502157fbf31e6de3a725c8c6ebf16e1d6,155
0x0e6680d0ce1ec637826b98c428b72eaded2b51fe,1200
0x0e6fce57d310402f62aa8820420e3afe9dfca965,11876
0x0e851617cb5ba92b4d529dfcbce9a5f3acdecc2a,38
0x0eae11ec9baa6a44b883a83d0305d7c16660924b,1160
0x0ecf34f73b10569db3adbc59f572bc2c50febe21,39404
0x0ee6a0887bcd333448fbe9033a0065a896d79a30,2702
0x0ee7eba733eeaa0dc7c2816dc11efcfb923750e7,7795
0x0f146e68998008c2dec7f333e53af955f8f745bb,566
0x0f36678989c78fc10a6cfc1da35aeb418199c699,98
0x0f5856b5f2e0fc7ae69fdf07552cb7c5a4ccfd7e,3
0x0f65223f8963e4b820fd3206eec17a0b697f9ff3,200000
0x0f97cf1df298c5346a353488696bb2f0201be2ce,992
0x0facf0e7cc993d79b684fabae240d728dce8e4be,210
0x0fc41790d715a95866495c5d9251324e12cbef06,16370
0x0fce472a55e4bbf5aef4dc87a3cf7a3fbec09101,5540
0x0fd07e2ba953b69d039cf101a093a01089765e88,22110
0x0fd14141fdd266d8d79c0f18babff7cea6258d65,2095
0x0fd9bf643a96d338b4212080e188493121273ed9,1
0x0fdd1ceac4c7bdb99c25929f762b3d0581834dcd,136
0x0ff0d25e1ad5d54b470978036b93cc3758fa1955,200
0x0ffcfc7a08cce9cfbf19db016c432d530e9754aa,996
0x10009ad7b216fb76e4a0da5ae8fd07bc4706dafc,17322
0x100eb8b9149ca1631dedfdcfa762bd6cec10c61d,575
0x1032fcf64e9748f696a2181e154640a51aedef88,23717
0x1051c327584c96d9a9351d372ae4e101e2413d1f,10372
