address,allocation
0x90944311d7f8be16fd52807fd31fde699cbb5925,573
0x4bca636d7b4c77ee20cd85c4e6ea1ea67199a194,573
0x4fb421dd213193b38e7f8fdb830ef9d8ec8c0e18,569
0x9b02e85da86a44ce670102f1bdf1928e29e7408d,569
0xca0c72341ba951052ee87c2a7e92130b2c7df105,550
0xf073c642e81c143da7b033ac2137ae0d886b979e,530
0x3caf983accccc2551195e0809b7824da6fde4ec8,518
0x66878e0d5536f87d710ae5cd9f632f1d0b6aef0b,516
0x0678c77fd5222a3c4284aa730d9236db339e9be1,514
0x3aa7c44665f30ad79cc4a8cc9da538e6f62c73c6,511
0x77effe293dd70de5dbdae46dce252dc0fa3b6664,507
0x852614e8f8ead5d4577b547a5ca364d7dfd0b1ce,507
0xfc8d8ab7d2d987c493dc0e689cb730143fe4a33a,507
0x995d8b47357b2e67f1cf2937a17d443fc48ea08d,503
0x9c960d858a28283605c1be196f63fc6e7518d6c3,503
0xf3b9700203e14d79392bea3ff187367099c3fca9,503
0x5865bb6bbd8b3147276fa51a7c6147a951e9e68d,500
0xa8a238f7ab3eaae867e422cf2defa8a5a7ebc24c,500
0x3c382a649ffee0c37f975952e0f8a4ff2d6a8f48,494
0x8765656f2adfc8a346340465d8dccc752b3a5115,494
0xf74dbe88f361dad8399f3763d893d042ffd56108,493
0xd3b5fe6b289cb137878814dbd69128e164f53911,491
0x225288f11535d7bfc2c60a5561702473b55d1c9b,477
0x2e89b128538201828d7631bd19cc032ba151b40c,477
0x4b9f94e8c548a8c5910336ea09c34e4faa05183a,477
0x756e8259c266229d687df5cafa7b1293ca3f6a1a,475
0xc3f7ef0434bac70e15bee01c3d1689b39ff5db81,461
0x4201e209b048a464c15a3fc6b71d6049e5a36b12,459
0x16f987e169307f144bd3515966b5586a5eca7a44,450
0xcea2190e1ca961a9025662f33538e93cad346b8e,450
0xe666b9f5f99aa717acf3db57a2c585c85c145526,448
0xd09984dd6510ea3e9ce7742afea3c4317f74199e,446
0xf2e514209e87690bd6233b74dd3f7fb99e3074a8,441
0xf7c1ca4f99e633ae80d8e0530c99874c80ad307e,438
0xc28a78a1119c530ce6035d474fe616c4eec4ee57,432
0x800c08c1137d01dee86e0bab11e70e360b04da8d,426
0x6c8c93c7563e87c0e9799e8f1f33b90579adbac2,419
0xfad81781f19e7853133ff5bd8484f21109375983,416
0x423ee8e3881e097246a67c6a72b740f520ef97cf,405
